# X Y Sx Sy Sz
46.000000 76.787586 0.755235 0.275222 -0.594872
46.000000 77.364936 -0.738090 -0.263249 0.621227
46.500000 77.653611 0.696480 0.245947 -0.674112
46.500000 78.230961 -0.675593 -0.233139 0.699443
47.000000 78.519637 0.631544 0.212201 -0.745737
47.000000 79.096987 -0.620174 -0.198541 0.758924
47.500000 79.385662 0.572017 0.181185 -0.799980
47.500000 79.963012 -0.550478 -0.180643 0.815072
48.000000 80.251687 0.511179 0.161672 -0.844132
48.000000 80.829038 -0.497847 -0.148448 0.854466
48.500000 81.117713 0.453652 0.137592 -0.880493
48.500000 81.695063 -0.432659 -0.141001 0.890463
49.000000 81.983738 0.399016 0.118228 -0.909290
49.000000 82.561088 -0.374360 -0.111204 0.920591
49.500000 82.849764 0.333012 0.091117 -0.938510
49.500000 83.427114 -0.309129 -0.080951 0.947569
50.000000 83.715789 0.265392 0.052806 -0.962693
50.000000 84.293139 -0.247820 -0.051633 0.967429
50.500000 84.581814 0.198878 0.033584 -0.979449
50.500000 85.159165 -0.190553 -0.025964 0.981333
51.000000 85.447840 0.150286 0.002561 -0.988639
51.000000 86.025190 -0.126389 0.012849 0.991898
51.500000 86.313865 0.083767 -0.022336 -0.996235
51.500000 86.891216 -0.062593 0.034714 0.997435
52.000000 87.179891 0.031348 -0.054350 -0.998030
52.000000 87.757241 -0.018467 0.050586 0.998549
52.500000 88.045916 -0.029142 -0.062794 -0.997601
52.500000 88.623266 0.040190 0.074924 0.996379
53.000000 88.911941 -0.093097 -0.091549 -0.991439
53.000000 89.489292 0.112272 0.111851 0.987362
53.500000 89.777967 -0.159933 -0.130578 -0.978453
53.500000 90.355317 0.176600 0.127129 0.976038
54.000000 90.643992 -0.231044 -0.144180 -0.962201
54.000000 91.221343 0.253373 0.149615 0.955729
54.500000 91.510018 -0.303585 -0.164700 -0.938461
54.500000 92.087368 0.317102 0.164516 0.934013
55.000000 92.376043 -0.368796 -0.193739 -0.909096
55.000000 92.953393 0.395844 0.195201 0.897332
55.500000 93.242068 -0.441202 -0.213170 -0.871722
55.500000 93.819419 0.469515 0.206816 0.858360
56.000000 94.108094 -0.528369 -0.226637 -0.818207
56.000000 94.685444 0.543108 0.227083 0.808373
56.500000 94.974119 -0.597835 -0.249853 -0.761687
56.500000 95.551470 0.624824 0.246087 0.740970
57.000000 95.840145 -0.676493 -0.257723 -0.689881
57.000000 96.417495 0.694835 0.259670 0.670653
57.500000 96.706170 -0.746915 -0.265437 -0.609640
57.500000 97.283520 0.754680 0.265627 0.599918
58.000000 97.572195 -0.802401 -0.280144 -0.526946
58.000000 98.149546 0.817476 0.269971 0.508771
58.500000 98.438221 -0.861178 -0.274601 -0.427745
58.500000 99.015571 0.870965 0.273895 0.407923
59.000000 99.304246 -0.905007 -0.274766 -0.324755
59.000000 99.881597 0.915573 0.262132 0.304980
59.500000 100.170272 -0.939172 -0.263816 -0.219903
59.500000 100.747622 0.950462 0.248470 0.186773
60.000000 101.036297 -0.961938 -0.255027 -0.098165
60.000000 101.613647 0.966338 0.244884 0.078881
60.500000 101.902323 -0.970374 -0.241476 0.007989
60.500000 102.479673 0.973605 0.225692 -0.033994
61.000000 102.768348 -0.969196 -0.216945 0.116596
61.000000 103.345698 0.969575 0.204059 -0.135216
61.500000 103.634373 -0.954574 -0.200748 0.220203
2.500000 0.288675 0.910959 0.177603 -0.372304
3.000000 0.577350 -0.879392 -0.165320 0.446473
3.000000 1.154701 0.873201 0.146774 -0.464734
3.500000 1.443376 -0.836874 -0.146552 0.527413
3.500000 2.020726 0.832717 0.130864 -0.538013
4.000000 2.309401 -0.796862 -0.115602 0.592999
4.000000 2.886751 0.794241 0.099088 -0.599469
4.500000 3.175426 -0.751739 -0.088015 0.653561
4.500000 3.752777 0.747257 0.072715 -0.660545
5.000000 4.041452 -0.700183 -0.055398 0.711811
5.000000 4.618802 0.709094 0.054909 -0.702973
5.500000 4.907477 -0.657186 -0.045832 0.752334
